Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_M,Type_H,target
-1.5051941,-1.4912486,0.0753882,-0.6690704,0.7438527,1.0,0.0,0
1.7501459,1.2126614,-0.48823604,0.5186824,1.0268358,1.0,0.0,0
-0.8541261,-0.6800756,-0.18984674,0.1294189,-0.23086709,0.0,1.0,0
0.24768129,-0.13929361,-0.6816365,0.8480593,0.03639478,0.0,1.0,0
1.6499816,1.4830524,-0.18432102,-0.00033561504,-0.9068824,1.0,0.0,0
2.050639,2.15903,1.5728605,-1.4176542,1.2312125,1.0,0.0,0
0.39792776,0.80707484,-0.28378412,0.009645501,-0.3251948,0.0,1.0,0
-0.4033867,-0.8828688,0.6113838,-0.94854164,-0.23086709,1.0,0.0,0
-0.90420824,-1.4912486,-0.101435095,0.28911677,-0.74966955,1.0,0.0,0
-0.4033867,0.19869514,-0.42192733,-0.110127896,0.8224591,1.0,0.0,0
-0.2030581,0.13109738,1.1252766,-1.5174654,-0.13653937,1.0,0.0,0
0.34784558,1.2802591,-0.7755739,1.0177382,1.7971789,1.0,0.0,1
-1.1045369,-0.8152711,0.21905713,-0.70899487,-0.5924567,1.0,0.0,0
-1.0043726,-1.6264441,-1.3170953,1.8461709,0.7438527,0.0,1.0,0
-0.15297593,-0.61247784,-0.6761108,1.0077572,1.2469338,1.0,0.0,0
0.8987493,-0.0040981136,1.3352542,-1.6072954,1.419868,0.0,1.0,0
-0.6037153,-0.8152711,-0.54349333,0.049569968,-0.7025057,0.0,1.0,0
-1.3048655,-0.9504666,-0.062755,-1.0882773,0.86962295,0.0,1.0,0
0.39792776,1.3478569,-0.9137171,1.0177382,0.72813135,1.0,0.0,0
-0.6037153,-0.2744891,0.8489901,-0.6690704,0.97967196,0.0,1.0,0
-1.455112,-1.0856621,-0.20642392,-0.26982576,1.1526061,0.0,1.0,0
0.74850285,0.33389062,-0.33351567,-0.5792404,0.6180824,1.0,0.0,0
0.4480099,-0.20689136,-0.4385045,0.20926782,1.1526061,1.0,0.0,0
0.34784558,0.06349964,-0.9523972,1.257285,0.9325081,0.0,1.0,0
0.69842064,0.53668386,-0.5987506,0.42885238,-1.3627998,1.0,0.0,0
1.9504745,2.15903,0.27984014,-0.80880606,-1.6143403,1.0,0.0,0
-0.4033867,-0.9504666,0.25773722,-0.42952362,0.47659078,0.0,1.0,0
0.69842064,0.53668386,1.1086993,-1.0782962,0.03639478,1.0,0.0,0
-0.503551,-0.071695864,-0.91924286,1.5666996,1.4670318,1.0,0.0,1
-1.3048655,-1.2208576,-0.76452243,1.1874173,0.14644378,0.0,1.0,0
-0.6037153,-1.0180644,1.0865964,-1.0982584,-1.2055868,1.0,0.0,0
-1.2547833,-0.61247784,-0.13458946,-0.4894103,1.6556873,1.0,0.0,0
1.6499816,1.0098681,0.16379984,-0.33969358,-0.95404625,0.0,1.0,0
1.4997351,1.6182479,-0.07380646,-0.38959914,0.5394759,0.0,1.0,0
0.798585,0.7394771,-0.72584236,0.4388335,-0.026490368,1.0,0.0,0
-0.7539618,-0.13929361,0.29641733,-0.4894103,1.4984744,1.0,0.0,0
-0.35330456,-0.8828688,1.4512944,-1.397692,0.3508205,1.0,0.0,0
-0.90420824,-0.6800756,-0.8971399,1.776303,-1.5671765,1.0,0.0,0
1.14916,1.1450636,-0.4771846,0.2491923,-0.81255466,0.0,1.0,0
-1.4050298,-1.3560531,-0.5766477,0.29909787,1.4827532,0.0,0.0,0
1.3995708,1.5506501,-0.5932249,0.89796484,1.7342937,0.0,1.0,0
0.69842064,0.46908614,0.9208246,-1.2080507,0.97967196,1.0,0.0,0
0.798585,0.8746726,0.9208246,-1.0084283,-0.23086709,1.0,0.0,0
-1.154619,-1.0180644,-0.4771846,0.54862577,-0.3409161,1.0,0.0,0
0.8987493,0.19869514,-0.41087586,0.64843696,-0.74966955,0.0,1.0,0
0.19759914,0.13109738,-0.8805627,0.7282859,-1.6143403,0.0,1.0,0
-0.65379745,-0.13929361,0.2743144,-0.81878716,1.7185724,1.0,0.0,0
-1.0043726,-0.61247784,0.09749111,-0.3596558,-0.6710631,0.0,0.0,0
1.7501459,1.9562366,0.025656646,-0.30975023,-0.3251948,1.0,0.0,0
-0.7539618,-0.2744891,0.25221148,-0.7788627,-0.29375222,1.0,0.0,0
-0.80404395,0.06349964,-1.1292205,1.776303,-0.18370323,0.0,1.0,0
0.49809206,0.94227034,-0.3390414,-0.0502412,-0.5138503,1.0,0.0,0
0.047352675,-0.2744891,0.4732406,-0.19995794,-0.9697676,0.0,1.0,0
0.8987493,0.46908614,-0.41087586,-0.4195425,-0.40380123,0.0,1.0,0
-0.55363315,-0.0040981136,-0.8916142,0.9279082,-1.4099636,1.0,0.0,0
0.047352675,-0.20689136,-0.6595336,0.83807814,-1.1269804,0.0,1.0,0
-1.455112,-1.3560531,0.8324129,-1.4376163,0.80673784,0.0,1.0,0
1.6499816,1.2126614,-0.018549178,0.059551083,1.529917,0.0,1.0,0
-0.7539618,-0.74767333,1.0258135,-0.80880606,1.529917,1.0,0.0,0
-0.90420824,-0.74767333,-0.52691615,1.3071907,-0.38807994,1.0,0.0,0
0.5481742,-0.0040981136,-0.38324723,0.009645501,-1.3313571,0.0,0.0,0
-1.5552763,-1.4236509,-0.996603,1.6465486,0.03639478,1.0,0.0,0
-1.3048655,-0.8152711,0.44561198,-0.65908927,1.2312125,1.0,0.0,0
0.39792776,0.33389062,0.10854256,0.009645501,1.7657362,0.0,0.0,0
0.39792776,0.46908614,-1.0021287,0.8081348,1.419868,1.0,0.0,0
-0.9542904,-0.2744891,0.053285286,-0.13009013,-1.0169314,0.0,1.0,0
